全球第一片食品級「奶嘴砧板」募資計劃,百成生技股份有限公司,1580,1580,https://www.zeczec.com//projects/beyond-wood,"全球第一片超薄食品級材質「奶嘴砧板」，搭配捷克名畫家慕夏畫作設計，兼具無毒、抗菌、不發霉特質,zeczec",22 天,2022/06/02 12:00 – 2022/06/27 23:59,2022/06/02 12:00:00,2022/06/27 23:59:00
D-DAY 新都會隨型包｜3 種秒換造型，2 種背法設計，工作／日常／戶外 都很型，機能帥氣一次搞定,Dr.Wilds 荒野醫生,506356,3388,https://www.zeczec.com//projects/ddaybag,"D-DAY 新都會隨型包，滿足日常一切所需，順應你的每日穿搭，機能與帥氣同時兼備的最強日常包！獨家 2 種背法容量 X 3 種秒換造型，不管工作、日常或輕旅，一包背了就隨時出發，就此告別換包大麻煩。,zeczec",26 天,2022/06/01 21:00 – 2022/07/01 23:59,2022/06/01 21:00:00,2022/07/01 23:59:00
【浴見MEETiNG】植萃低敏寵物潔淨慕絲｜人寵可共用，溫和好沖洗！, 浴見MEETiNG,2887,549,https://www.zeczec.com//projects/meeting,"首創【人寵共用】植萃慕絲，結合了日本專利抗菌除臭配方與專櫃化妝品等級原料，低敏不刺激，易沖洗胺基酸泡沫，溫和洗淨並保護毛寶貝皮膚；減塑包裝、易分解成份與全回收包裝，在呵護毛孩同時對環境盡一份心力。,zeczec",35 天,2022/06/01 20:00 – 2022/07/10 23:59,2022/06/01 20:00:00,2022/07/10 23:59:00
"Method美則+麗莎康登聯名限量款-手牽手支持性平等教育推廣, 每售出一組就贊助60元給性平教育協會",Method美則,2998,999,https://www.zeczec.com//projects/method-love4ever,"美則與麗莎康登DESIGN FOR GOOD聯名限量版洗手乳系列, 防疫勤洗手, 愛自己也愛家人,手牽手贊助台灣性平等教育協會協助偏鄉宣導性平觀念 ,zeczec",25 天,2022/06/01 13:00 – 2022/06/30 23:59,2022/06/01 13:00:00,2022/06/30 23:59:00
省電超新星【TURNLIFE 多功能無線水冷扇】｜擺脫有線的束縛，展開無限的潛能！,攜帶電話,251960,2490,https://www.zeczec.com//projects/turnlife-humidity-fan,"擺脫有限的束縛，展開無限的潛能，雙噴嘴設計／超廣角送風／高效靜音 溫馨夜燈／內建大容量電池／三檔風力／大容量水箱 / 曠香槽設計,zeczec",25 天,2022/06/01 12:00 – 2022/06/30 23:59,2022/06/01 12:00:00,2022/06/30 23:59:00
【第二彈】彰化溪州『鮮烘即送-陽光芭樂乾』，採用草生栽培芭樂，鮮烘即送的美味，香Q健康無負擔！【尋農高手】,尋農高手,25400,260,https://www.zeczec.com//projects/SBF-DriedGuava2,"採用彰化產銷履歷芭樂，新鮮採收即烘焙，不添加色素、防腐劑，使用特等良果製作，果乾口感更香Q！榮獲過農委會優良旅遊伴手禮！花博市集特約果農！,zeczec",14 天,2022/06/01 12:00 – 2022/06/19 23:59,2022/06/01 12:00:00,2022/06/19 23:59:00
【Omars】炫彩系行動電源 -「炫彩奪目 百變生活」讓日常充滿色彩！,杰鼎奧拉,3996,999,https://www.zeczec.com//projects/omars-colorful-power-bank,"全新系列《Omars 炫彩系行動電源》，外觀設計炫麗多彩，希望提供更多人便利的行動電源產品來為3C設備充電，同時也能讓每個人生活中增添更多色彩！,zeczec",43 天,2022/06/01 12:00 – 2022/07/19 12:00,2022/06/01 12:00:00,2022/07/19 12:00:00
**將屬於自己的香氣隨心移動在城市的角落** 把你放心裡-“繫”上祝福 ❤ Connect 你我的距離 輕奢珠寶,one n only,16205,2860,https://www.zeczec.com//projects/connect,"走過後疫情年代 我們經歷前所未有的變化的世界時 好想對遠方的你說聲Hi、傳遞我的思念 祝福和關懷, ❤Connect香氛項鍊要為您重新”繫”起這一切的渴望,zeczec",56 天,2022/06/01 12:00 – 2022/08/01 02:00,2022/06/01 12:00:00,2022/08/01 02:00:00
金竹貓砂｜本世紀最強的環保砂革命列車，正式啟動｜克服市售所有豆腐砂&松木砂的缺點,三奇國際生物科技有限公司,3112,778,https://www.zeczec.com//projects/golden-bamboo-litter,"礦砂的凝結、具有殺菌除臭的天然竹琨成分、環保的水溶性，3秒內溶於水，可沖馬桶的懶人救星。,zeczec",42 天,2022/06/01 12:00 – 2022/07/17 23:59,2022/06/01 12:00:00,2022/07/17 23:59:00
Dr.EFIL 香氛維他命濾水器｜浴室一秒升級香氛SPA，淨水清香保養保濕通通搞定！,小生活 Simple Life,20501,980,https://www.zeczec.com//projects/dr-efil,"今夏沖澡必備的清涼淨化聖品！韓國熱銷產品，一秒淨化你的洗澡水，FDA、OATC、WAA多重認證，安全衛生有保障！天然香氛加上維他命，沖澡也能同時保養保濕！,zeczec",25 天,2022/06/01 12:00 – 2022/06/30 23:59,2022/06/01 12:00:00,2022/06/30 23:59:00
 目睭金金．含笑花明亮修復眼膜 ,費生恩,60973,1046,https://www.zeczec.com//projects/Golden-eye-mask,"費生恩生醫團隊耗時五年研發，首款使用臺灣原生植物提煉的眼部保養產品，嚴選宜蘭在地有機農場栽種，並以環保技術萃取綠色生產，改善疲勞、細紋、暗沉等多種眼周困擾。,zeczec",36 天,2022/06/01 11:30 – 2022/07/11 23:59,2022/06/01 11:30:00,2022/07/11 23:59:00
齁齁睏 | 首創日本涼感黑科技，在酷夏為孩童打造頂級涼爽的兒童隨身床組,woopo fabrics,219400,1480,https://www.zeczec.com//projects/SweetDreams,"獨家應用日本涼感技術，搭配恆溫石墨烯四季被，專為台灣嬰仔開發，最全面的貼心設計，讓孩童不管到哪都能有舒適的睡眠。,zeczec",36 天,2022/06/01 11:00 – 2022/07/11 23:59,2022/06/01 11:00:00,2022/07/11 23:59:00
SILAMPOS旋轉快鍋｜獨家一轉即開鍋蓋，輕鬆簡易使用，15分鐘佳餚端上桌,KissDiamond,44600,9900,https://www.zeczec.com//projects/SILAMPOS,"全新一鍋到底【旋轉快鍋】，全鍋採用316不鏽鋼材質製造，ECO COOK歐盟節能認證，精緻環保實用，功能簡單易上手，使用超安心！,zeczec",40 天,2022/05/31 21:00 – 2022/07/16 00:00,2022/05/31 21:00:00,2022/07/16 00:00:00
DIKE X BioLED 醫院級UVC紫外線空氣清淨機｜第一台專為國人打造！,DoubleLife,139720,4990,https://www.zeczec.com//projects/bioled-x-dike-uvc,"專為台灣人研發！生活用品首選品牌DIKE特別找了防疫國家隊-華興集團(BioLED)合作，推出了這款淬鍊40年光學經驗的醫院級UVC紫外線空氣清淨機,zeczec",30 天,2022/05/31 12:00 – 2022/07/05 23:59,2022/05/31 12:00:00,2022/07/05 23:59:00
潔癖刷 ｜畚箕式抗菌馬桶刷，一次解決清潔馬桶的所有困擾，開啟你的潔癖人生,Mieloo.co,719130,1350,https://www.zeczec.com//projects/tidybrush,"超疏水抗菌刷頭，好刷不卡垢，畚箕式防漏刷座，好清不髒手。 讓髒水不亂滴、刷座不發臭，打造浴廁清潔的全新體驗。,zeczec",40 天,2022/05/30 20:00 – 2022/07/15 23:59,2022/05/30 20:00:00,2022/07/15 23:59:00
日本 NiNJA 武士極黑廚刀｜來自武士刀的故鄉，每一次下刀都精準俐落,NINJA,5680,1490,https://www.zeczec.com//projects/ninja2022,"來自日本「刀刃之市」承襲 800 年武士刀鍛造技術而生，採用日製高級鋼材 AUS-8，更包覆鈦金塗層，擁有超群的鋒利刀刃及抗鏽耐磨特性，讓你下廚如有神助！,zeczec",39 天,2022/05/30 12:00 – 2022/07/14 23:59,2022/05/30 12:00:00,2022/07/14 23:59:00
