商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(20230103 截止),集資開始,集資結束,新品入榜
BRITA 全球首發【 Model ONE｜智能瞬熱 UVC 滅菌開飲機 】安心生飲，「淨」乎苛求！德國淨水專家，專為台灣「健康」飲水而生！,BRITA,35667520,13888,https://www.zeczec.com/projects/brita-model-one,"56 年德國淨水專家匠心巨獻，超越 RO 純水唯一首選，用健康溫芯好水打造生活儀式感！,zeczec",10 天,2022/12/01 20:50 – 2023/01/13 02:00,2022/12/01 20:50:00,2023-01-13 02:00:00,
【WOKY –[●●] 渾圓杯｜最台吸管保溫杯】 770ml 超大容量！一杯暢飲全部外帶手搖,WOKY,26350954,890,https://www.zeczec.com/projects/woky-770ml,"由台灣手搖文化出發設計，有感升級開發770ml大容量結合獨家鈦陶瓷、封水結構、珍珠粗吸管、隱藏式手提及可替換止水豆設計，無畏各式飲品新口味搶攻市場，專為手搖控準備，一杯就足夠日常所需！,zeczec",3 天,2022/10/24 12:00 – 2023/01/05 23:59,2022/10/24 12:00:00,2023-01-05 23:59:00,
Oladance 開放式無限耳機｜舒適通透＋劇院級立體環繞，配備 16.5 mm 超大單體的無重力音響！,Oladance.taiwan,23304854,5180,https://www.zeczec.com/projects/oladance,"【十年經驗 · 精心研發】打造最適合耳朵的工學耳機，零擠壓、零堵塞，自在享受細膩而有層次的震撼音質。16 小時長時續航，從早到晚貼身陪伴一整天。,zeczec",9 天,2022/11/22 12:00 – 2023/01/12 02:00,2022/11/22 12:00:00,2023-01-12 02:00:00,
Aries 快拆式大錐刀磨豆機 ｜83mm 3 秒快拆式鍍鈦錐刀，5 段式可調式研磨轉速，在家就能享受頂級精品咖啡風味,米克斯酷,9247000,29900,https://www.zeczec.com/projects/aries,"在家喝咖啡也能很享受。專為咖啡痴匠心打造的 Aries 磨豆機，獨家 3 秒刀盤快拆設計，結合 83mm 鍍鈦錐刀，為每一次磨豆留下最純粹風味，只留口齒餘香給您。,zeczec",15 天,2022/11/15 21:00 – 2023/01/17 23:59,2022/11/15 21:00:00,2023-01-17 23:59:00,
GUARDAMPER 尬 顛 簸【 銀刃 】搖式挾持 4D 專業抗震手機架｜精緻工藝 × 便利快取 × 絕對抗震,尢口設計,9054913,2488,https://www.zeczec.com/projects/guardamper,"GUARDAMPER 尬顛簸 【 銀刃 】專利抗震 × 單手快取 × 精巧鋼骨｜台灣設計、製造，最值得你擁有的車用精品。,zeczec",4 天,2022/09/13 12:00 – 2023/01/06 23:59,2022/09/13 12:00:00,2023-01-06 23:59:00,
2023 旗艦機登場👑美國 ELPHECO 絕美太空艙✨除臭感應垃圾桶，全面啟動無菌生活！,ELPHECO,8232126,3999,https://www.zeczec.com/projects/elpheco,"全天候自動殺菌除臭，丟垃圾、整理垃圾🤢不用再憋氣！殺菌率 99.9%🔥垃圾久放不易有異味，感應開蓋不沾手，垃圾廚餘輕鬆丟~,zeczec",29 天,2022/12/20 12:00 – 2023/02/01 02:00,2022/12/20 12:00:00,2023-02-01 02:00:00,
【日本 ATEX｜V 型溫感指壓按摩椅墊】日本專利設計、工藝級按摩科技，小而有力。肩 / 頸 / 臀，真人感全方位按摩，一台搞定！,日本ATEX,7069055,3980,https://www.zeczec.com/projects/atex-v,"風靡全日本美臀推拿機，8 顆按摩球打造 3D 深層按摩，一台包辦按摩肩頸、腰部和臀部，布套可拆卸機洗。,zeczec",30 天,2022/11/17 12:00 – 2023/02/01 23:59,2022/11/17 12:00:00,2023-02-01 23:59:00,
《 PopuPiano 七彩智慧鋼琴 》從基礎初學到專業創作，帶你實現「彈鋼琴、自彈自唱」的夢想！,PopuMusic 台灣,6590569,8990,https://www.zeczec.com/projects/popupiano,"琴鍵七彩 LED 燈｜APP 遊戲化教學｜一鍵產生和弦 + 節奏打擊｜音色/調式 變換、疊加錄製｜支援 GarageBand 等 MIDI 軟體 ➢ 不論初心者或玩家都能快速上手！,zeczec",11 天,2022/12/13 12:00 – 2023/01/13 23:59,2022/12/13 12:00:00,2023-01-13 23:59:00,
【玩色時尚．MIZAI 無線真空保鮮機】突破專用袋限制，全方位守護您的居家食品保鮮！,MIZAI x 有設計,6349120,1780,https://www.zeczec.com/projects/mizai-food-preservation,"超值首選！智慧偵測、無線輕巧、時尚美型，兼具大吸力與續航力，由台灣智能家居品牌MIZAI設計打造，不只一機多用，同時是業界適用包裝材質最多的保鮮機！,zeczec",11 天,2022/11/23 10:30 – 2023/01/13 23:59,2022/11/23 10:30:00,2023-01-13 23:59:00,
【突破500萬】霍曼Homerunpet 智能寵物餵食器｜不在家也能準時放飯，毛孩專屬健康飲食守護者,霍曼Homerunpet,5724842,2390,https://www.zeczec.com/projects/homerunpet-feeder,"餵養儲糧，一機搞定！毛孩餵食旗艦機種，不在家也能準時放飯，上班、外出也不用擔心毛孩在家會餓肚子。霍曼最強餵食器，放飯就是輕鬆又寫意～,zeczec",16 天,2022/12/13 12:00 – 2023/01/19 02:00,2022/12/13 12:00:00,2023-01-19 02:00:00,
北魏真書體｜源於城市，取自傳承，一款新時代的字體,北魏真書體,5657918,3300,https://www.zeczec.com/projects/zansyu,"北魏真書體，透過字體研究和電腦技術重新設計的全新楷書字體，以字體設計傳承、演繹文化，向世界傳遞新的語言使用形式。,zeczec",14 天,2022/12/14 21:00 – 2023/01/17 02:00,2022/12/14 21:00:00,2023-01-17 02:00:00,
【 ESCURA l 33℃ 抱抱被 】一件讓你從冬天蓋到夏天的恆溫被，翻面即換季，整件可機洗！,ESCURA INC.,5480761,4290,https://www.zeczec.com/projects/escuratw,"我們解決市面上冬被不夠保暖，夏被又太熱的情形。專利五層結構找回你失去的３３℃恆溫被窩。一款隨著體溫變化，懂得適時吸熱、放熱的恆溫被，雙面±℃冷暖黑科技，翻面即換季，還能輕鬆機洗，這輩子一被子就夠！,zeczec",8 天,2022/12/01 20:00 – 2023/01/11 02:00,2022/12/01 20:00:00,2023-01-11 02:00:00,
